% ARFF file Created by Marsyas (ArffFileSink)
@relation output.arff
@attribute Chroma_0 real
@attribute Chroma_1 real
@attribute Chroma_2 real
@attribute Chroma_3 real
@attribute Chroma_4 real
@attribute Chroma_5 real
@attribute Chroma_6 real
@attribute Chroma_7 real
@attribute Chroma_8 real
@attribute Chroma_9 real
@attribute Chroma_10 real
@attribute Chroma_11 real

@data
-21.739885,-28.036213,-27.680265,-27.300342,-25.837206,-34.568319,-28.353933,-46.603548,-29.560202,-40.513125,-44.431061,-40.627478
-27.239179,-25.452314,-23.766093,-34.501248,-30.423667,-32.065405,-33.163262,-32.093571,-36.562089,-39.899633,-40.868630,-43.717992
-29.684298,-26.586581,-23.935016,-25.393151,-27.067454,-34.789807,-23.010478,-36.133339,-37.362471,-41.246280,-51.636175,-37.495250
-26.498165,-25.078707,-26.673494,-22.831614,-26.290003,-33.851260,-26.868297,-36.127753,-40.400413,-40.209050,-36.380549,-39.793735
-28.441133,-21.780996,-21.575716,-21.519197,-16.974649,-28.487653,-27.160295,-36.933139,-31.829241,-31.160202,-23.948599,-30.224185
-23.155691,-16.022436,-23.932288,-19.198173,-23.447636,-19.057605,-32.989111,-28.056700,-28.414703,-32.433637,-31.131046,-31.449405
-30.337894,-19.604152,-21.117309,-14.509630,-21.016865,-25.575262,-25.410795,-20.159774,-12.335049,-30.422551,-35.458098,-36.596936
-29.113329,-21.106190,-21.171621,-22.026127,-25.596076,-28.956737,-26.106431,-17.812178,-22.933543,-31.986225,-39.051708,-39.303549
-26.473483,-21.831950,-27.270144,-21.569030,-28.866888,-33.039689,-30.350714,-27.436559,-26.257331,-35.392289,-50.665306,-36.917921
-22.500427,-18.039353,-24.585969,-19.778651,-26.754768,-30.557539,-30.521826,-20.199516,-17.772334,-42.938016,-47.604543,-33.138958
-12.976375,-17.263361,-25.482327,-26.873026,-20.975976,-20.433561,-25.363795,-33.214568,-18.836246,-34.096054,-46.669412,-40.297235
-15.787134,-16.018550,-22.271470,-13.714601,-16.660858,-21.316982,-18.885639,-21.512822,-5.593913,-30.924568,-39.700050,-26.343231
-19.004203,-16.790276,-19.272432,-6.847337,-13.264601,-13.412543,-23.286843,-14.480545,-17.604172,-25.161894,-37.558900,-21.541583
-19.531460,-15.786094,-17.771954,2.980127,-7.320228,-12.101967,-18.953762,-20.102151,-11.290006,-30.108200,-38.401944,-26.023628
-14.819689,-10.939021,-15.514868,-7.267039,-12.036088,-30.879322,-19.166226,-15.951874,-8.584536,-33.971819,-41.296927,-23.164904
-22.030472,-18.611757,-15.256952,1.300043,-11.687826,-20.965802,-21.238819,-10.612995,-12.611827,-39.697143,-33.493472,-29.902853
-17.701694,-15.829308,-20.668372,-10.955168,-13.875653,-24.985177,-23.313933,-15.328896,-10.534424,-23.059772,-34.147612,-21.773056
-17.313466,-18.175458,-14.119526,-8.953871,-19.802618,-22.232786,-15.935161,-6.673244,-9.065846,-29.502782,-25.373367,-13.010959
-14.232917,-17.936237,-21.141478,-10.575814,-20.321067,-14.936260,-19.860054,-12.521094,-23.321844,-29.869232,-41.172663,-11.536475
-13.648085,-13.052565,-17.240182,-13.591183,-25.520649,-17.638949,-20.420103,-17.838530,-13.465065,-22.679085,-40.709293,-10.315555
-8.517521,-18.831953,-13.038804,-12.421936,-17.508336,-19.184849,-20.027342,-2.814190,-12.317638,-26.259984,-35.119094,-18.425960
-14.043147,-9.596672,-14.659682,-7.746748,2.070590,-22.926385,-22.122485,-1.559237,-4.778017,-28.224643,-19.525398,-14.691639
-10.928110,-1.739317,-9.991996,3.406388,6.864143,-9.629413,-16.910227,14.536030,3.946854,-15.228221,-14.570643,-4.537880
-7.885656,-6.142604,-7.416710,9.315107,4.879648,-14.462498,-8.329829,19.017999,7.858294,-4.142851,-5.595584,8.100233
-0.965660,8.022847,-7.408710,10.580144,6.958001,-4.502327,-12.380122,10.549721,6.827808,-2.211241,1.536447,11.487220
-3.020848,6.043586,4.928211,2.131200,3.804352,-14.504467,-19.233498,8.780454,-3.888637,-10.216074,-14.210921,6.205290
-3.486177,0.506469,-4.171938,0.091878,1.835001,-13.205016,-13.213062,4.588264,11.107651,-11.450539,-21.884800,-1.747729
-7.047862,-5.821559,-7.798091,-0.218281,4.143724,-1.501260,-3.201407,3.988968,3.800617,-6.072517,-21.489751,0.719361
5.094728,-1.100018,-6.940272,-0.474942,3.973342,-4.501025,-2.206347,6.861430,1.660735,-6.489284,-15.473954,-7.873266
-0.475996,-5.742803,-6.598710,9.404848,4.839858,-6.500582,-4.967393,9.191818,1.123626,-10.212526,2.121814,-3.664195
1.226568,-4.410950,5.358586,1.006568,8.418480,5.363477,-11.717603,10.760925,5.389220,-4.036076,-7.387619,-7.159698
7.218441,0.807903,1.921987,9.744813,8.825139,1.819675,-14.892190,23.239148,3.290922,-14.555210,-10.575402,-3.454821
5.606936,0.744714,13.273411,13.769233,10.349688,7.837309,-6.107616,21.657106,6.151530,-0.754043,1.329836,-5.794495
5.857533,9.894626,9.882790,23.311302,13.708745,4.623221,-8.886462,39.609057,16.789620,7.158383,-0.941100,5.784360
24.088162,8.049741,19.618481,29.214930,21.725266,1.523721,0.914475,37.946353,18.227007,0.390255,1.380094,8.068120
15.541058,9.572270,23.681100,17.946767,19.346977,-6.805168,-7.668014,32.525608,32.276825,-3.202206,10.588926,9.149255
12.481018,6.623815,12.348287,15.992082,19.691502,-0.122117,-3.042518,31.046922,14.400259,-6.012564,5.854971,2.991000
-0.357102,-8.409261,10.760618,13.117708,8.674787,-0.106238,-5.140686,21.471078,3.811459,-11.581372,-10.052798,-10.936717
4.093340,-11.167397,0.238669,12.660969,-1.155792,7.263105,-11.298283,17.883867,9.039877,-13.624197,0.037365,-12.256977
2.237335,-11.431432,2.499794,18.057650,2.437662,2.975765,-5.625241,18.137390,-1.544884,-12.577753,-9.886824,-15.647338
4.425821,-8.926589,-4.306660,13.625498,9.623761,3.550538,-4.964718,15.551623,10.027925,-4.163772,-3.536263,-12.173167
0.899555,-8.802327,-2.844411,25.114044,9.642473,-4.763666,-8.947276,24.902472,17.674241,-8.165588,-14.795023,-6.256104
15.634505,3.970627,-1.912925,17.452150,13.470495,3.094006,-13.102766,15.856386,8.702639,-12.445747,-15.841479,-5.783588
8.088759,0.188313,2.718367,20.397985,10.887840,7.452782,-14.602328,22.038489,14.373149,-15.143677,8.554408,3.111524
13.966629,-5.368621,-3.499509,24.610429,10.623879,6.536738,-12.895950,27.412674,15.466890,-8.654090,-6.743722,-9.756444
10.951472,-3.481356,2.668720,12.277464,9.071096,0.329561,-7.179028,9.207406,15.529178,-9.658412,-5.568411,-5.516419
9.320270,-11.337236,-4.783698,22.036893,10.434015,-2.299564,-3.490990,8.593351,1.216608,-11.999775,-6.048109,-11.254483
5.253428,-10.540632,2.423843,18.829421,11.202254,10.753948,1.204216,17.581976,10.425328,-12.230566,-6.996699,-16.955177
5.683845,-16.278855,3.690552,16.352465,16.113724,-3.038189,-2.530562,18.462168,6.597359,-8.364341,-1.174210,-13.821406
2.115054,-14.623545,10.044344,11.962106,16.083722,-7.212740,-9.944620,27.564235,6.972369,-6.325759,-7.447920,-20.538445
6.306489,-8.060103,3.063718,17.689013,8.235904,-14.355316,-0.959793,15.555068,8.032062,-7.427031,-17.672928,-11.918690
0.047139,-15.680688,0.728768,19.350927,6.070564,-4.391581,-8.612405,18.546910,0.064614,-8.674734,-20.664069,-18.112975
3.664637,-16.423654,-0.504377,6.378962,6.982020,-8.598364,-16.467829,17.148412,-10.369212,-11.371237,-6.805422,-22.618898
5.193514,-10.734040,-2.394749,7.866371,0.361861,-9.457769,-5.619728,-4.050835,-9.523038,-9.803857,-1.566779,-20.789659
10.307477,-7.185651,-8.141685,12.251533,7.037248,-13.088856,-8.893810,9.848503,5.119971,-6.855893,-19.452598,-19.218367
3.446224,-4.584699,-0.806857,6.747259,13.036363,-2.851415,-8.898147,16.592898,4.260053,-5.977800,-14.992024,-10.190478
4.584759,-10.752414,-5.852143,3.456852,18.237774,-6.681178,-5.277938,26.920983,15.101791,-4.704414,-1.496949,-18.696492
-7.407829,-13.447208,1.384688,10.960934,17.677586,-1.102950,-16.103285,23.602430,-4.892246,0.532111,-20.621345,-23.616910
-5.672308,-9.505857,0.537090,8.537012,10.938089,-3.079994,-16.512286,6.623538,-4.171929,-0.194717,-16.973243,-18.698270
-4.609423,-11.233196,-1.102315,12.126247,5.135089,5.315180,-10.078403,8.425788,1.051095,-6.422505,-15.425751,-3.903564
-3.680565,-9.553067,-3.684621,12.589935,8.456637,-4.407789,-13.196095,16.659731,-5.757660,-3.047311,-13.568521,-0.976740
-3.554491,-9.807898,-10.508263,8.006647,-0.568989,-8.027120,-12.627561,7.929695,-10.232263,-9.136519,-20.344731,-13.498461
-8.403743,-19.185322,-19.642176,4.216542,0.783835,-7.209420,-12.688387,3.873607,-10.961118,-16.976922,-32.862739,-23.621832
-6.772121,-10.476908,-5.288472,3.299199,-3.380839,-14.103381,-16.841889,8.513744,-0.228259,-5.119784,-25.487626,-24.889617
2.815294,-15.509344,-8.126238,3.429790,-3.096338,-9.523062,-8.760716,8.806696,-18.058113,-17.821844,-22.020186,-16.986222
-10.136569,-20.454124,-6.086226,8.117877,-2.256795,0.710198,-7.988324,14.547529,-10.074064,-17.538749,-18.603494,-5.425803
-3.621751,-20.567037,-10.705126,10.659134,-2.825347,-5.831128,-9.953983,10.544203,-2.220869,-15.369830,-25.061784,-5.245414
-3.417102,-11.454137,-10.265504,11.483515,-15.716002,-12.965446,-0.223893,10.231225,9.450423,-28.320261,-26.676496,0.396274
-1.027470,-22.196023,-8.393692,14.190032,-2.165321,-13.107754,-5.174986,3.480238,3.419208,-31.229623,-20.848344,-11.773769
-7.966771,-7.724321,-12.302856,-4.052723,-16.343746,-17.980646,-17.412447,2.741641,-10.705808,-28.345574,-11.178616,-9.090247
-14.954532,-10.127280,-15.466995,-0.389395,-5.534542,-21.118769,-7.269339,-6.619725,-18.035437,-24.902136,-23.657962,-22.129598
-20.068873,-17.233207,-17.897769,-3.409871,-11.763580,-5.737030,-14.162151,-12.937543,-17.518569,-28.647382,-36.235323,-27.507833
-6.812438,-25.592322,-17.094026,2.460875,-23.705021,-20.966330,-13.075131,-13.098140,-26.256435,-23.956550,-30.794821,-16.504124
-17.145683,-23.247791,-25.137332,-0.008045,-22.945775,-15.488391,-16.979424,-11.652062,-11.522557,-25.855759,-30.799995,-10.922978
-12.027329,-28.369578,-20.363800,-12.715076,-4.760282,-28.184594,-19.356881,-21.683352,-15.436042,-16.638714,-28.260259,-7.403003
-8.623003,-28.494508,-14.841367,-1.000032,-15.126697,-15.306115,-10.302748,-8.775677,-15.886011,-17.302008,-44.438550,-10.487424
-3.926938,-23.327530,-22.256931,0.517125,-9.092687,-20.829337,-6.409695,-2.678246,-10.946030,-22.707413,-20.403519,-13.164245
-13.918453,-16.881997,-16.764469,-0.719736,-7.919685,-15.638164,6.025845,-2.620653,-1.360247,-16.895626,-26.416935,-16.438032
-10.699945,-25.341116,-17.287665,2.932137,-25.924190,-26.693452,0.451713,-8.800059,-12.080989,-26.556339,-28.406286,-19.586767
-6.361602,-27.324457,-25.453329,-8.010128,-19.048114,-19.053452,-15.622822,-9.487682,-19.455630,-11.040194,-41.704232,-19.436648
-17.500082,-29.713098,-29.474261,-3.151078,-22.414266,-27.175219,-20.431305,-14.599434,-21.898303,-20.207396,-29.167107,-16.827804
-20.666217,-30.095646,-28.949877,-11.459811,-21.714705,-23.513829,-23.207876,-7.502987,-22.044351,-23.815734,-35.591519,-19.272633
-20.813314,-31.111346,-28.373330,-10.692548,-25.636261,-25.234222,-19.015685,-17.359050,-27.099519,-23.372060,-17.773022,-23.288130
-22.597086,-22.880174,-23.537533,-3.798508,-21.928652,-22.901213,-16.463815,-7.602066,-14.668052,-10.367518,-26.984251,-16.107582
-22.301892,-26.368419,-25.782573,2.634915,-8.531922,-11.987055,-12.585057,-14.243995,-19.571241,-16.795781,-19.059166,-16.479563
-18.733295,-18.710317,-18.866647,-0.164178,-11.675484,-25.882599,-15.264873,-9.034220,-4.601922,-8.207750,-16.557767,-14.055681
-15.335165,-19.708929,-15.978521,1.142896,-23.994525,-19.410915,-15.160903,-12.426917,-12.482996,-22.579036,-16.712932,-18.255881
